date,Azienda Ospedale Università Padova,Azienda Ospedale Università Padova- Ospedale S. Antonio,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento,Casa di Cura Giovanni XXIII Monastier -TV,Casa di Cura Rizzola,Casa di Cura Villa Maria - Padova,Casa di Cura Villa Maria ODC - Padova,Casa di cura Policlinico San Marco Mestre,Centro Servizi Casa Luigi e Augusta - Ormelle,Centro Servizi Civitas Vitae - Vedelago,IRCCS - IOV,Ospedale Cinto Caomaggiore (VE),Ospedale Comunità Camposampiero,Ospedale Comunità Casa di Cura Rizzola,Ospedale Comunità Marostica,Ospedale Comunità Montagnana (PD),Ospedale Comunità SS. Giovanni e Paolo (VE),Ospedale Comunità Vittorio Veneto,Ospedale Comunità c/o Ospedale Adria,Ospedale Comunità di Castelfranco,Ospedale P. Pederzoli-Peschiera,Ospedale S. Camillo-Treviso,Ospedale Sacro Cuore Don Calabria-Negrar,Ospedale Villa Salus-Mestre,Ospedale civ. Motta di Livenza - Treviso,ULSS 1 - Ospedale Agordo,ULSS 1 - Ospedale Belluno,ULSS 1 - Ospedale Comunità Agordo,ULSS 1 - Ospedale Comunità Belluno,ULSS 1 - Ospedale Feltre,ULSS 2 - Ospedale Castelfranco,ULSS 2 - Ospedale Conegliano,ULSS 2 - Ospedale Montebelluna,ULSS 2 - Ospedale Oderzo,ULSS 2 - Ospedale Treviso,ULSS 2 - Ospedale Vittorio Veneto,ULSS 3 - Ospedale Chioggia,ULSS 3 - Ospedale Dolo,ULSS 3 - Ospedale Mestre,ULSS 3 - Ospedale Mirano,ULSS 3 - Ospedale Noale,ULSS 3 - Ospedale Venezia,ULSS 4 - Ospedale Jesolo,ULSS 4 - Ospedale Portogruaro,ULSS 4 - Ospedale San Donà di Piave,ULSS 5 - Ospedale Adria,ULSS 5 - Ospedale Rovigo,ULSS 5 - Ospedale Trecenta,ULSS 6 - Ospedale Camposampiero,ULSS 6 - Ospedale Cittadella,ULSS 6 - Ospedale Conselve,ULSS 6 - Ospedale Piove di Sacco,ULSS 6 - Ospedale Schiavonia,ULSS 7 - Ospedale Asiago,ULSS 7 - Ospedale Bassano,ULSS 7 - Ospedale Santorso,ULSS 8 - Ospedale Arzignano,ULSS 8 - Ospedale Lonigo,ULSS 8 - Ospedale Noventa Vicentina,ULSS 8 - Ospedale Valdagno,ULSS 8 - Ospedale Vicenza,ULSS 9 - Ospedale Bovolone,ULSS 9 - Ospedale Bussolengo,ULSS 9 - Ospedale Legnago,ULSS 9 - Ospedale Malcesine,ULSS 9 - Ospedale Marzana,ULSS 9 - Ospedale San Bonifacio,ULSS 9 - Ospedale Villafranca,Veneto
20200306,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
20200307,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29
20200308,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29
20200309,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,37
20200310,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,53
20200311,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,54
20200312,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,97
20200313,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,41,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,103
20200314,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,3,1,0,4,0,0,0,0,5,0,0,0,0,0,1,1,0,4,0,0,0,0,9,0,0,0,0,0,0,0,118
20200315,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,45,0,0,0,3,1,0,4,0,0,0,0,5,0,0,0,0,0,1,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,123
20200316,38,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,48,0,0,0,3,1,0,4,0,0,0,0,5,0,0,0,0,0,2,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,131
20200317,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,51,0,0,0,3,1,0,4,0,0,0,0,5,0,0,2,0,0,2,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,147
